,title,handle,created,product_type,price,sku,available,image
238,MACI - NEON POP - BOTTOM,maci-neon-pop-bottom,2021-03-08T19:43:55+08:00,Bottoms,0.00,MACNEOBBOTXL,False,"{'id': 27938906996832, 'created_at': '2021-03-08T19:43:55+08:00', 'position': 3, 'updated_at': '2021-03-08T19:43:55+08:00', 'product_id': 6537807822944, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/3.MACI_NEONPOP_COMBO_NORMAL_BACK.jpg?v=1615203835', 'width': 1400, 'height': 1786}"
239,MACI - CANDY,maci-candy,2021-02-10T07:50:55+08:00,Swimwear,89.00,MACCANTOPXL,False,"{'id': 28125722509408, 'created_at': '2021-08-27T14:28:02+08:00', 'position': 12, 'updated_at': '2021-08-27T14:28:02+08:00', 'product_id': 4801454506080, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/MACI_CANDY_HOVER.jpg?v=1630045682', 'width': 1400, 'height': 1786}"
240,MACI - CANDY - BOTTOM,maci-candy-bottom,2021-02-10T07:50:40+08:00,Bottoms,0.00,MACCANBBOTXL,True,"{'id': 17595123007584, 'created_at': '2021-02-10T07:50:40+08:00', 'position': 2, 'updated_at': '2021-02-10T07:50:40+08:00', 'product_id': 4801454440544, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/2.MACI_CANDY_COMBO_NORMAL_FRONT_e2f3c7cf-4a7b-4933-8830-311129db9734.jpg?v=1612914640', 'width': 1400, 'height': 1786}"
241,MACI - ZEBRA PUNCH,maci-zebra-punch,2021-02-10T07:31:55+08:00,Swimwear,99.00,MACZPUTOPXL,True,"{'id': 17606489047136, 'created_at': '2021-02-22T08:01:39+08:00', 'position': 11, 'updated_at': '2021-02-22T08:01:39+08:00', 'product_id': 4801447067744, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/MACIZEBRAPUNCH-Edit.jpg?v=1613952099', 'width': 1400, 'height': 1786}"
242,MACI - ZEBRA PUNCH - BOTTOM,maci-zebra-punch-bottom,2021-02-10T07:31:45+08:00,Bottoms,0.00,MACZPUBBOTXL,True,"{'id': 17595099185248, 'created_at': '2021-02-10T07:31:45+08:00', 'position': 2, 'updated_at': '2021-02-10T07:31:45+08:00', 'product_id': 4801446936672, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/2.MACI_ZEBRAPUNCH_COMBO_NORMAL_FRONT.jpg?v=1612913505', 'width': 1400, 'height': 1786}"
243,MACI - BLUE CRUSH - BOTTOM,maci-blue-crush-bottom,2021-01-22T02:45:00+08:00,Bottoms,0.00,MACBLUBBOTXL,True,"{'id': 17571942695008, 'created_at': '2021-01-22T02:45:00+08:00', 'position': 2, 'updated_at': '2021-01-22T02:45:00+08:00', 'product_id': 4792484692064, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/2.MACI_BLUECRUSH_COMBO_NORMAL_FRONT.jpg?v=1611254700', 'width': 1400, 'height': 1786}"
244,MACI - BLUE CRUSH,maci-blue-crush,2021-01-22T02:44:56+08:00,Swimwear,99.00,MACBLUTOPXL,False,"{'id': 17571942531168, 'created_at': '2021-01-22T02:44:57+08:00', 'position': 11, 'updated_at': '2021-01-22T02:44:57+08:00', 'product_id': 4792484659296, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/11.MACIBlueCrush_HOVER.jpg?v=1611254697', 'width': 1400, 'height': 1786}"
245,VINCA - ZIPPO,vinca-zippo,2021-07-28T15:43:00+08:00,Swimwear,99.00,VINZIPTOPXL,True,"{'id': 28095447236704, 'created_at': '2021-07-28T15:43:00+08:00', 'position': 9, 'updated_at': '2021-07-28T15:43:00+08:00', 'product_id': 6566125076576, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/9.VINCA_ZIPPO_HOVER.jpg?v=1627458180', 'width': 1400, 'height': 1786}"
246,VINCA - ZIPPO - BOTTOM,vinca-zippo-bottom,2021-07-28T15:42:50+08:00,Bottoms,0.00,VINZIPBOTXL,True,"{'id': 28095446941792, 'created_at': '2021-07-28T15:42:50+08:00', 'position': 2, 'updated_at': '2021-07-28T15:42:50+08:00', 'product_id': 6566125043808, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/2.VINCA_ZIPPO_FRONT.jpg?v=1627458170', 'width': 1400, 'height': 1786}"
247,MAIA - ZIPPO,maia-zippo,2021-07-28T15:42:46+08:00,Swimwear,99.00,MAIZIPTOPXL,False,"{'id': 28095446876256, 'created_at': '2021-07-28T15:42:46+08:00', 'position': 11, 'updated_at': '2021-07-28T15:42:46+08:00', 'product_id': 6566125011040, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/11.MAIA_ZIPPO_HOVER.jpg?v=1627458166', 'width': 1400, 'height': 1786}"
248,MAIA - ZIPPO - BOTTOM,maia-zippo-bottom,2021-07-28T15:42:33+08:00,Bottoms,0.00,MAIZIPBBOTXL,True,"{'id': 28095446515808, 'created_at': '2021-07-28T15:42:33+08:00', 'position': 2, 'updated_at': '2021-07-28T15:42:33+08:00', 'product_id': 6566124978272, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/2.MAIA_ZIPPO_FRONT.jpg?v=1627458153', 'width': 1400, 'height': 1786}"
249,CELESTE - POPSICLE,celeste-popsicle,2021-07-28T15:37:37+08:00,Bottoms,69.00,CELSICABOTXL,True,"{'id': 28095444713568, 'created_at': '2021-07-28T15:37:37+08:00', 'position': 8, 'updated_at': '2021-07-28T15:37:37+08:00', 'product_id': 6566124716128, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/8.CELESTE_POPSICLE_PRODUCT_HOVER.jpg?v=1627457857', 'width': 1400, 'height': 1786}"
